   1;          ;BD+44 4550 ;     3; 36042;    ; ; ; ;   46;  ;         ;00 05 09.9;+45 13 45;114.44;-16.88; 6.70; ; ; 0.07; ; 0.08; ;     ; ;  A1Vn              ; ;-0.012;-0.018; ;      ; -18;    ;  ;195; ; 4.2;  21.6;AC  ; 3;
   2;          ;BD-01 4525 ;     6;128569;    ; ; ; ;     ;  ;         ;00 05 03.8;-00 30 11; 98.33;-61.14; 6.29; ; ; 1.10; ; 1.02; ;     ; ; gG9                ; ; 0.045;-0.060; ;      ;  14;V   ;  ;   ; ;    ;      ;    ;  ;
   3; 33    Psc;BD-06 6357 ;    28;128572;1002;I; ; ;     ;  ;Var?     ;00 05 20.1;-05 42 27; 93.75;-65.93; 4.61; ; ; 1.04; ; 0.89; ; 0.54; ;  K0IIIbCN-0.5      ; ;-0.009; 0.089; ; 0.014;  -6;SB1O; <; 17; ; 2.5;   0.0;    ; 3;*
   4; 86    Peg;BD+12 5063 ;    87; 91701;2004; ; ; ;     ;  ;         ;00 05 42.0;+13 23 46;106.19;-47.98; 5.51; ; ; 0.90; ;     ; ;     ; ;  G5III             ; ; 0.045;-0.012; ;      ;  -2;V?  ;  ;   ; ;    ;      ;    ;  ;
   5;          ;BD+57 2865 ;   123; 21085;    ; ; ; ;   61;  ;V640 Cas ;00 06 16.0;+58 26 12;117.03; -3.92; 5.96; ; ; 0.67; ; 0.20; ;     ; ;  G5V               ; ; 0.263; 0.030; ; 0.047; -12;V   ;  ;   ; ; 0.8;   1.4;    ;  ;*
   6;          ;CD-4914337 ;   142;214963;    ; ; ;W;     ;  ;         ;00 06 19.0;-49 04 30;321.61;-66.38; 5.70; ; ; 0.52; ; 0.05; ;     ; ;  G1IV              ; ; 0.565;-0.038; ; 0.050;   3;SB  ;  ;   ; ; 5.7;   5.4;    ;  ;*
   7; 10    Cas;BD+63 2107 ;   144; 10978;2005; ; ; ;     ;  ;         ;00 06 26.5;+64 11 46;118.06;  1.75; 5.59; ; ;-0.03; ;-0.19; ;     ; ;  B9III             ;e; 0.008; 0.000; ;      ;   0;V   ;  ;153; ;    ;      ;    ;  ;*
   8;          ;BD+28 4704 ;   166; 73743;    ; ; ; ;   69;  ;   33    ;00 06 36.8;+29 01 17;111.26;-32.83; 6.13; ; ; 0.75; ; 0.33; ;     ; ;  K0V               ; ; 0.380;-0.182; ; 0.067;  -8;V   ;  ;   ; ; 2.6; 158.6;AB  ; 4;*
   9;          ;CD-23    4 ;   203;166053;1003; ; ; ;     ;  ;         ;00 06 50.1;-23 06 27; 52.21;-79.14; 6.18; ; ; 0.38; ; 0.05; ;     ; ;  A7V               ; ; 0.100;-0.045; ;      ;   3;V   ;  ;   ; ;    ;      ;    ;  ;
  10;          ;BD-18 6428 ;   256;147090;    ; ; ; ;     ;  ;         ;00 07 18.2;-17 23 11; 74.36;-75.90; 6.19; ; ; 0.14; ; 0.10; ;     ; ;  A6Vn              ; ;-0.018; 0.036; ;      ;  -9;V?  ;  ;195; ;    ;      ;    ;  ;*
